I,Vout,V,D,P,Irradiance,Temperature
6.81870091226517,58.3730368096373,29.7825061861631,485,212.117783245336,1000,25
7.31343665708928,53.815293494291495,23.9901363666088,557,180.75113127465698,1000,60
6.0565216002485,49.44237941200729,24.2982102114014,505,152.417455671341,836,60
5.7355782043348,50.8947288333651,26.9110599763157,475,161.503052053846,836,48
5.37632181524447,48.4364133578439,26.198545259344897,457,146.29452550624902,755,48
5.26762404452664,49.090846369471706,27.4155008738547,445,150.354614255372,755,42
3.6757176409220396,40.9804888040799,27.338720873481805,335,104.788400392922,524,42
3.61585363604502,39.7523846485728,25.934859406153397,345,98.55860743392749,524,55
6.463708775663131,51.9948641088058,25.2205350675981,513,168.481400427251,905,55
6.3779473135569,54.320111437875205,27.845611767446105,489,183.924339302776,905,36
7.34073493319401,57.3654957101187,27.0566436504172,525,205.336109309415,1017,36
7.440689483891151,58.240375569907705,27.280310986940197,0.5329999999999999,212.29391876385503,1017,29
6.800738948198191,57.659337361967296,29.253080126298197,0.49700000000000005,207.31013435724302,995,29
7.38699675239715,54.3503521420984,24.081097619690105,0.5589999999999999,184.79233860002302,995,55
5.72860895981385,48.9500634195255,25.1389583755265,483,149.335999529897,798,55
5.331194975147509,52.644155280307295,30.6748928665502,415,172.754332989771,798,22
6.016097662001849,53.939865437055,28.9551164170194,461,181.875981693818,841,22
5.764846948669059,54.366585436010396,30.699205804172898,439,184.430834478548,841,18
7.30002609908023,60.104248271545494,29.8558816977882,503,225.245830223987,1037,18
7.4483825850541905,57.031715037736305,26.400079306771897,0.5329999999999999,202.62392890803198,1037,43
4.620875571510349,46.4045122443046,27.635967080465697,401,134.208361659431,675,43
4.781034386537491,48.3622691332118,29.2679798184442,0.39299999999999996,145.992808122467,675,23
3.8982551132065,44.3853291218583,30.128480806415,321,122.911132381521,567,23
3.889810771761,44.8156711941927,30.789440986823802,311,125.295399404312,567,18
5.760386496283821,53.8501877033224,30.228617449379897,439,180.67169457468998,824,18
5.53819876203973,53.27543300909579,30.3012109164626,0.42700000000000005,176.88319344057098,824,24
4.12473775514096,44.4377986585612,28.299353125184602,361,123.59273225207501,571,24
3.9642199273042595,44.3581066502938,29.699161369623198,0.33299999999999996,122.766315088262,571,25
5.81195751076204,52.886659573237495,28.933818281371003,455,174.559261517698,817,25
5.541755699535839,54.4640819514189,31.8859512321896,0.41100000000000003,184.913584064258,817,10
2.6765827911251803,37.5067748056103,31.8066441077572,153,87.7469157715217,385,10
2.71409709693335,36.7231129812545,29.8696632737429,185,84.07119806795409,385,21
7.586220073215371,61.305231740590706,29.8852417441958,517,234.347623282777,1096,21
8.08772840105556,58.35857475109879,25.3864166782027,0.5670000000000001,213.017700637284,1096,44
3.5398875184145897,40.051435205080104,27.036007413297895,0.32299999999999995,100.06269721088499,505,44
3.5706336090860997,38.5217270776078,24.8660269426584,0.35700000000000004,92.57959465903821,505,60
5.79728819302511,48.5433454590102,24.4984118804383,495,146.915458592865,806,60
5.64375286152815,52.733613935968705,29.6282872328267,441,173.494219705791,806,23
4.244526308143549,46.0524064295022,29.912517156179103,353,132.314315005298,611,23
4.24811713886728,44.3563033899269,27.6046183330377,375,122.67042819717,611,41
6.19937056680856,53.3209673815098,27.449087098837598,0.48100000000000004,176.990002846651,889,41
6.32275282056412,51.0209965138224,24.844045832003196,517,162.306189436188,889,59
2.7165824932209803,33.0312712331078,23.927877466552896,275,68.2549587737469,371,59
2.70628205960319,34.988104898824396,27.0134719408487,0.22899999999999998,76.5801990880489,371,35
2.78848643099185,36.3409859908456,28.3952145543742,221,82.4507014172259,400,35
2.7883185642536605,37.114646040199204,29.658897763400397,201,86.0041014067646,400,25
7.38817421925143,59.49964419940191,28.9418884848681,511,220.64083744586497,1046,25
