VPV,IPV,D
"416,81","272,44","0,35967"
"416,23","272,97","0,35967"
"415,28","273,83","0,35967"
"414,61","274,42","0,35967"
"413,58","275,29","0,35967"
"412,84","275,9","0,35967"
"411,76","276,75","0,35967"
"410,98","277,34","0,35967"
"409,86","278,15","0,35967"
"409,06","278,71","0,35967"
"407,9","279,47","0,35967"
"407,05","280,01","0,35967"
"405,86","280,73","0,35967"
"404,99","281,23","0,35967"
"403,81","281,88","0,35967"
"402,98","282,33","0,35967"
"401,88","282,88","0,35967"
"401,15","283,25","0,35967"
"400,18","283,71","0,35967"
"399,61","283,98","0,35967"
"398,82","284,33","0,35967"
"398,44","284,51","0,35967"
"397,85","284,76","0,35967"
"397,67","284,85","0,35967"
"397,31","285,01","0,35967"
"397,37","285,01","0,35967"
"397,28","285,07","0,35967"
"397,6","284,97","0,35967"
"397,76","284,94","0,35967"
"398,33","284,73","0,35967"
"398,76","284,59","0,35967"
"399,58","284,27","0,35967"
"400,25","284,02","0,35967"
"401,3","283,57","0,35967"
"402,16","283,2","0,35967"
"403,37","282,62","0,35967"
"404,38","282,13","0,35967"
"405,7","281,41","0,35967"
"406,8","280,81","0,35967"
"408,18","279,96","0,35967"
"409,3","279,25","0,35967"
"410,68","278,29","0,35967"
"411,77","277,5","0,35967"
"413,1","276,45","0,35967"
"414,11","275,63","0,35967"
"415,33","274,54","0,35967"
"416,18","273,75","0,35967"
"417,23","272,7","0,35967"
"417,88","272,04","0,35967"
"418,7","271,14","0,35967"
"419,09","270,68","0,35967"
"419,66",270,"0,35967"
"419,78","269,81","0,35967"
"420,09","269,4","0,35967"
"419,98","269,48","0,35967"
"420,07","269,32","0,35967"
"419,73","269,64","0,35967"
"419,61","269,72","0,35967"
"419,09","270,25","0,35967"
"418,8","270,51","0,35967"
"418,1","271,2","0,35967"
"417,65","271,63","0,35967"
"416,81","272,44","0,35967"
"416,23","272,97","0,35967"
"415,28","273,83","0,35967"
"414,61","274,42","0,35967"
"413,58","275,29","0,35967"
"412,84","275,9","0,35967"
"411,76","276,75","0,35967"
"410,98","277,34","0,35967"
"409,86","278,15","0,35967"
"409,06","278,71","0,35967"
"407,9","279,47","0,35967"
"407,05","280,01","0,35967"
"405,86","280,73","0,35967"
"404,99","281,23","0,35967"
"403,81","281,88","0,35967"
"402,98","282,33","0,35967"
"401,88","282,88","0,35967"
"401,15","283,25","0,35967"
"400,18","283,71","0,35967"
"399,61","283,98","0,35967"
"398,82","284,33","0,35967"
"398,44","284,51","0,35967"
"397,89","284,75","0,35967"
"397,75","284,83","0,35967"
"397,43","284,97","0,35967"
"397,53","284,96","0,35967"
"397,47","285,01","0,35967"
"397,82","284,89","0,35967"
"398,02","284,84","0,35967"
"398,61","284,63","0,35967"
"399,03","284,48","0,35967"
"399,83","284,16","0,35967"
"400,45","283,92","0,35967"
"401,43","283,5","0,35967"
"402,22","283,15","0,35967"
"403,37","282,6","0,35967"
"404,32","282,14","0,35967"
"405,59","281,46","0,35967"
"406,63","280,89","0,35967"
"407,96","280,08","0,35967"
"409,04","279,41","0,35967"
"410,38","278,48","0,35967"
"411,44","277,74","0,35967"
"412,73","276,73","0,35967"
"413,69","275,95","0,35967"
"414,86","274,93","0,35967"
"415,63","274,22","0,35967"
"416,6","273,27","0,35967"
"417,18","272,69","0,35967"
"417,95","271,87","0,35967"
"418,31","271,47","0,35967"
"418,85","270,85","0,35967"
"418,95","270,69","0,35967"
"419,25","270,31","0,35967"
"419,1","270,41","0,35967"
"419,16","270,29","0,35967"
"418,8","270,63","0,35967"
"418,66","270,73","0,35967"
"418,13","271,25","0,35967"
"417,84","271,51","0,35967"
"417,14","272,17","0,35967"
"416,7","272,58","0,35967"
"415,86","273,34","0,35967"
"415,3","273,84","0,35967"
"414,36","274,65","0,35967"
"413,72","275,2","0,35967"
"412,7","276,02","0,35967"
"411,99","276,59","0,35967"
"410,9","277,4","0,35967"
"410,11","277,98","0,35967"
"408,95","278,77","0,35967"
"408,11","279,34","0,35967"
"406,9","280,09","0,35967"
"406,03","280,63","0,35967"
"404,84","281,32","0,35967"
"403,99","281,79","0,35967"
"402,84","282,4","0,35967"
"402,04","282,81","0,35967"
"400,97","283,32","0,35967"
"400,28","283,66","0,35967"
"399,35","284,08","0,35967"
"398,82","284,32","0,35967"
"398,09","284,64","0,35967"
"397,76","284,79","0,35967"
"397,26","285,01","0,35967"
"397,17","285,06","0,35967"
"396,92","285,18","0,35967"
"397,07","285,14","0,35967"
"397,08","285,17","0,35967"
"397,49","285,03","0,35967"
"397,75","284,96","0,35967"
"398,42","284,72","0,35967"
"398,93","284,54","0,35967"
"399,84","284,18","0,35967"
"400,59","283,89","0,35967"
"401,71","283,4","0,35967"
"402,64","282,98","0,35967"
"403,91","282,36","0,35967"
"404,97","281,83","0,35967"
"406,34","281,06","0,35967"
"407,47","280,41","0,35967"
"408,88","279,52","0,35967"
"410,01","278,77","0,35967"
"411,4","277,77","0,35967"
"412,49","276,95","0,35967"
"413,81","275,87","0,35967"
"414,8","275,03","0,35967"
416,"273,93","0,35967"
"416,83","273,14","0,35967"
"417,84","272,09","0,35967"
"418,45","271,45","0,35967"
"419,23","270,56","0,35967"
"419,58","270,14","0,35967"
"420,1","269,49","0,35967"
"420,19","269,34","0,35967"
"420,46","268,97","0,35967"
"420,3","269,1","0,35967"
"420,36","268,97","0,35967"
"419,98","269,34","0,35967"
"419,83","269,46","0,35967"
"419,27","270,03","0,35967"
"418,96","270,33","0,35967"
"418,23","271,06","0,35967"
"417,76","271,51","0,35967"
"416,89","272,35","0,35967"
"416,29","272,9","0,35967"
"415,32","273,79","0,35967"
"414,63","274,39","0,35967"
"413,58","275,28","0,35967"
"412,83","275,9","0,35967"
"411,73","276,76","0,35967"
"410,94","277,37","0,35967"
"409,81","278,18","0,35967"
409,"278,75","0,35967"
"407,82","279,52","0,35967"
"406,97","280,06","0,35967"
"405,76","280,78","0,35967"
"404,88","281,29","0,35967"
"403,7","281,94","0,35967"
"402,86","282,39","0,35967"
"401,75","282,95","0,35967"
"401,02","283,31","0,35967"
"400,05","283,77","0,35967"
"399,46","284,04","0,35967"
"398,68","284,39","0,35967"
"398,3","284,56","0,35967"
"397,74","284,81","0,35967"
"397,6","284,89","0,35967"
"397,28","285,03","0,35967"
"397,38","285,01","0,35967"
"397,33","285,06","0,35967"
"397,68","284,95","0,35967"
"397,88","284,9","0,35967"
"398,48","284,68","0,35967"
"398,91","284,53","0,35967"
"399,72","284,21","0,35967"
"400,34","283,97","0,35967"
"401,32","283,55","0,35967"
"402,13","283,2","0,35967"
"403,29","282,65","0,35967"
"404,24","282,19","0,35967"
"405,52","281,5","0,35967"
"406,57","280,93","0,35967"
"407,91","280,11","0,35967"
409,"279,44","0,35967"
"410,35","278,51","0,35967"
"411,42","277,75","0,35967"
"412,72","276,74","0,35967"
"413,68","275,96","0,35967"
"414,86","274,93","0,35967"
"415,64","274,21","0,35967"
"416,62","273,26","0,35967"
